naics,multiplier
54,-36499058.772684455
53,-34387706.2344266
531,-31276879.312888704
31,-26546419.898958214
51,-18516424.726255897
62,-18157263.290303476
52,-17737365.798817027
44,-13890919.29357113
33,-12879241.250666056
5412,-10160594.251802454
5415,-8136276.314110017
42,-6382283.263371721
49,-5726164.859094915
521,-5495864.634711412
48,-5292264.644600688
56,-5264930.27964917
524,-4839172.670173479
72,-4577198.3006177405
514,-3959288.8466935763
561,-3901421.9922502986
622,-3231809.4148378847
513,-3036220.497320708
621,-2863288.3182803434
55,-2393584.0143814157
722,-2149866.22418117
325,-1726901.7874534382
81,-1624799.259895447
61,-769251.2698361541
523,-418516.3142604106
21,-363804.0444203741
486,-303701.366111279
334,-268231.89168667793
22,-163673.46873208368
332,-40789.47088462161
311,-11820.948904266115
5411,16291.6875785538
336,131130.92477011355
23,182120.3463443257
532,332146.30282103876
483,374253.5723356181
441,739291.8400731687
71,767372.5171414218
624,899736.9595603887
11,1180485.0276479325
339,1304842.4179559466
211,1356507.9481493696
721,1422330.1732109832
481,1561880.2299178028
452,1597959.1061219992
445,1605298.4466016823
315,1630413.3642342463
623,1791435.5654133987
487,1823428.0765366182
484,1859414.282155023
711,1877467.51340977
511,2035580.2921428978
562,2341586.9239427326
512,2421514.148466723
493,2522305.6269141966
713,2523762.1345238118
333,2664395.211843284
213,2743475.1409431407
331,2754528.7281234944
326,2811278.589777587
322,3049214.8558599344
324,3105865.4962232085
327,3137309.917688066
323,3151771.2811309043
482,3170730.172825833
321,3190410.7684843354
212,3632599.0230444493
337,3658881.272275295
485,3659749.490810358
313,3738605.963055026
525,3791955.045297494
335,5334606.4182011485
